TP_SEXO,NT_GER,QE_I01,QE_I02,QE_I08
F,60.7,A,D,A
F,60.7,B,D,A
F,62.4,B,C,B
F,41.2,B,C,A
F,74.3,B,A,D
F,63.8,A,A,C
F,54.7,B,D,A
F,64.6,A,A,B
F,78.1,A,A,A
F,63.5,A,D,A
F,61,B,D,A
F,21,A,A,A
F,37.3,A,D,A
F,33.9,A,A,A
M,40.8,A,D,A
F,39.5,A,A,A
M,55.1,A,D,B
M,33.1,A,A,B
F,58.8,A,A,C
M,37.3,A,D,D
F,33,A,D,A
F,52.8,A,D,A
M,32.8,A,D,B
M,56.5,A,A,B
M,46,A,B,C
F,37.5,A,D,B
M,45,B,A,A
F,50.4,A,D,B
F,44,A,D,C
F,40.1,A,D,B
M,50,A,A,A
M,47.1,A,A,B
M,49.6,A,A,A
F,54.5,A,A,A
F,24,A,A,A
M,48.1,A,D,A
M,30.7,A,A,F
F,56.8,A,D,B
F,44.2,A,A,B
M,28.5,A,A,A
F,39.1,A,A,B
M,41.8,A,D,B
F,33.9,A,D,B
M,58.3,A,D,D
M,45.4,A,A,B
M,53.1,A,D,C
F,42.7,A,A,E
F,44.9,B,D,B
M,69.2,A,D,B
F,27.8,A,A,A
F,36.3,A,A,C
F,46.2,A,D,B
F,55.6,A,A,C
F,55.8,A,D,F
M,19.1,B,D,A
F,55.9,A,D,A
F,46.7,A,A,B
F,27.3,A,A,E
F,51.4,A,B,G
F,51.1,A,A,G
F,41.6,B,A,B
F,49.1,A,A,B
M,48.4,A,D,E
F,45.7,A,B,E
F,52.5,A,A,A
F,46.4,A,A,A
M,25.8,A,C,B
M,43.1,A,D,B
F,55.3,A,B,C
F,63,A,D,A
F,48.5,A,C,B
M,25.5,A,A,B
F,55.6,A,D,A
F,52.5,A,A,C
M,32.8,A,D,D
M,56.6,A,A,B
M,33.5,B,C,A
M,48.4,A,B,C
M,27.8,B,A,B
F,51.6,A,D,C
F,27.4,A,A,A
F,22.3,A,C,A
F,50.6,A,D,B
M,52.5,A,A,F
M,29.1,A,A,B
F,40.4,A,A,A
F,49.8,A,A,A
F,36.9,A,D,B
F,49.4,A,D,A
M,38.8,A,D,B
M,70.4,A,A,C
M,40.6,A,F,A
F,53.9,A,D,B
F,39.9,A,A,A
F,34.4,A,A,A
M,60.8,A,B,A
F,29.1,A,A,A
M,34.3,E,A,A
F,46.8,A,A,B
M,36,A,D,A
M,32.1,A,A,A
F,28.7,A,A,B
F,39.2,A,A,A
F,54.9,A,C,C
M,35.4,A,D,A
M,60,A,C,A
F,54,A,A,A
F,54.4,A,A,C
M,20,A,A,B
F,45.2,A,A,A
M,42.8,A,D,B
F,47,A,D,B
F,38.2,B,A,A
F,46.5,A,A,B
M,65,B,D,B
F,38.3,B,A,C
F,40.6,A,A,A
F,32.1,A,A,B
M,34.3,A,D,A
F,53.3,A,D,B
F,31.7,A,D,A
F,49.8,A,E,A
F,35.6,A,D,A
M,69.5,A,D,A
F,51.1,A,A,A
M,46.8,B,D,A
M,35.5,A,A,A
F,42.8,A,A,A
F,33.4,A,D,A
F,35.6,A,A,B
F,55.7,A,A,B
M,54.3,A,D,A
M,66.3,E,D,A
F,37.4,A,D,A
M,59.1,A,A,A
M,37.6,A,D,A
M,40.5,A,A,C
F,55.6,B,D,A
F,54.8,A,D,A
M,50.1,A,D,A
M,42.9,A,A,A
F,44.6,A,A,A
M,39.7,A,D,B
F,38.7,A,D,A
F,47.4,A,D,A
F,32.2,A,D,A
F,51.3,A,D,A
F,66,A,A,B
F,46.7,A,A,B
F,56.8,A,D,A
M,53.5,B,D,B
M,41.9,A,F,A
F,52.2,A,A,A
F,69,A,D,A
F,34.1,A,A,A
M,48.4,A,D,A
F,39.7,A,D,A
F,35.4,A,D,B
F,46.1,A,D,A
F,38.5,B,D,A
F,49.4,A,D,A
M,30.7,A,D,B
M,43.4,A,D,B
F,39.7,A,D,A
M,39.6,B,D,B
F,59.4,B,D,A
M,42.3,A,A,B
F,43,A,D,A
M,50.8,A,D,A
F,33.5,A,D,A
F,33.6,A,D,A
M,60.3,B,B,A
M,51,A,A,A
M,36.3,A,D,A
M,43.9,A,A,A
F,23.8,B,A,B
M,46,B,D,B
M,18.4,B,D,B
M,39.4,A,D,B
M,56.9,A,D,A
F,29.3,A,D,A
F,61.3,A,D,B
F,32.9,A,A,A
F,36.4,A,A,A
M,53.4,A,D,A
F,35.3,A,D,A
M,23.9,B,D,A
F,32.3,A,A,D
F,40.4,A,A,B
M,43.8,A,D,A
F,33.7,E,D,B
F,34,A,D,A
F,32.2,B,A,A
F,37.1,B,A,C
M,33.3,A,A,A
M,49.4,A,D,B
F,28.1,A,D,A
M,39.8,A,D,A
F,42.5,A,D,A
M,42.8,A,A,B
M,45.7,A,D,A
M,43.9,A,D,A
F,29.7,A,D,A
M,38.8,A,B,A
F,32.1,A,D,A
F,32.3,A,D,A
M,25.9,A,A,A
M,37.3,A,C,A
M,35.5,A,F,A
M,29.9,A,A,A
M,43.1,A,D,B
M,48.2,A,A,B
M,47.5,A,D,B
M,36.1,A,A,A
F,38.1,A,D,A
M,46.4,A,D,A
F,37.2,A,D,A
M,29.5,A,A,B
M,32.4,A,B,B
M,32.8,A,D,A
M,35.6,A,B,B
M,40.9,B,D,B
M,25.9,A,A,A
F,39.7,B,D,A
M,41.5,C,D,A
M,43.2,E,D,B
M,56.8,A,D,B
M,44.6,A,D,E
F,44,A,D,B
M,51.4,A,D,A
F,46,A,D,A
F,44.9,C,D,B
F,45.2,A,D,A
F,39.2,A,D,C
M,43.6,A,D,D
F,41.7,A,A,A
F,49.3,B,C,A
M,55.1,A,A,A
M,33.1,E,D,A
F,28.3,A,A,D
F,46.6,A,D,A
M,42.6,B,D,B
M,59.7,A,A,A
F,48.4,A,A,A
M,34.6,B,A,A
M,30.1,A,D,A
M,43.3,A,B,B
F,53.6,A,D,A
F,33,A,A,C
M,41.2,A,F,B
M,51.6,A,A,B
M,54.5,A,B,A
F,43.3,A,D,A
F,38.8,A,D,A
F,58.3,A,D,B
F,48.7,A,A,B
M,53.6,A,A,C
F,58.5,A,D,A
M,48.8,A,D,A
F,59.5,A,D,A
M,54,A,B,A
M,30,C,D,A
F,47.8,A,A,C
F,37.9,A,A,B
F,35.8,A,B,B
M,53.2,A,A,A
M,55.3,A,A,A
F,55.3,A,D,A
F,56.6,A,D,B
M,29.3,A,D,A
F,56.8,B,D,B
M,36,A,D,B
M,28.9,A,A,B
F,33.1,NA,NA,NA
M,42.9,A,A,A
M,37.4,A,A,A
F,33.2,A,C,A
F,48.4,A,A,B
M,26.2,A,D,A
F,44.8,A,A,B
F,26,A,D,A
M,48.2,E,D,A
F,32.9,A,D,A
F,22.4,A,D,A
F,38.8,A,D,A
M,36.3,A,B,B
F,24.7,A,D,A
F,43.2,A,C,A
F,43.6,A,A,A
F,36.1,A,D,A
F,26.2,B,D,A
F,33.1,A,A,B
F,46.8,A,A,B
F,24.3,A,A,B
F,30.8,A,D,A
F,28.6,A,D,A
F,23.6,A,D,B
M,53.8,A,A,B
F,13.4,C,A,A
F,24,A,A,A
F,23.4,B,D,A
M,29.1,A,A,B
M,44,A,A,A
F,26.4,A,B,C
M,42.9,A,D,C
M,47.2,A,D,A
F,27,A,D,B
F,37.2,A,A,E
F,44.3,A,C,A
F,32.4,A,D,A
M,26.9,A,D,B
M,45.3,A,A,A
F,55.7,A,D,B
M,43.7,A,F,B
F,42.6,A,D,A
M,27.9,A,A,A
F,30.7,A,D,A
M,28,A,A,B
F,54,A,D,A
M,26.1,A,A,B
M,66.4,A,A,A
F,27.3,A,A,B
F,27,A,A,B
F,52.2,E,A,D
M,54.2,A,D,A
M,16.4,A,A,A
F,50.7,B,D,C
F,35.9,A,A,B
F,53.1,A,D,B
F,37.4,A,C,B
F,41.2,A,A,B
M,34.2,A,A,E
F,37.1,A,D,A
F,43.4,A,D,A
M,34.1,A,D,A
F,42.7,A,A,C
F,56.3,A,A,C
M,52.4,A,A,A
F,36.1,A,D,C
F,48.1,A,D,B
M,27.7,A,B,D
F,49.4,A,D,B
F,49.6,A,D,B
